hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,tail,domestic,catsize,class_type,legs_scaled,total_ciri_aktif,habitat_Air,habitat_Amfibi,habitat_Darat,habitat_Udara,leg_group_encoded
1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0.5,7,False,False,True,False,2.0
1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0.5,7,False,False,True,False,2.0
0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,4,0.0,7,True,False,False,False,0.0
1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0.5,7,False,False,True,False,2.0
1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0.5,8,False,False,True,False,2.0
1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0.5,7,False,False,True,False,2.0
1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0.5,8,False,False,True,False,2.0
0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,4,0.0,7,True,False,False,False,0.0
0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,4,0.0,7,True,False,False,False,0.0
1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0.5,6,False,False,True,False,2.0
1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0.5,8,False,False,True,False,2.0
0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,2,0.25,7,False,False,False,True,1.0
0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,4,0.0,7,True,False,False,False,0.0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7,0.0,2,False,False,True,False,0.0
0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,7,0.5,3,True,False,False,False,2.0
0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,7,0.75,3,True,False,False,False,3.0
0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,2,0.25,7,False,False,False,True,1.0
1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0.5,7,False,False,True,False,2.0
0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,4,0.0,8,True,False,False,False,0.0
0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0.0,9,True,False,False,False,0.0
0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,2,0.25,7,False,False,False,True,1.0
0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,2,0.25,7,False,True,False,False,1.0
1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0.5,7,False,False,True,False,2.0
0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,2,0.25,7,False,False,False,True,1.0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,0.75,2,False,False,True,False,3.0
0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,5,0.5,6,True,False,False,False,2.0
0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,5,0.5,7,True,False,False,False,2.0
1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0.25,7,False,False,False,True,1.0
1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0.5,7,False,False,True,False,2.0
1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0.25,8,False,False,True,False,1.0
0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,6,0.75,3,False,False,False,True,3.0
1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0.5,8,False,False,True,False,2.0
1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0.25,6,False,False,True,False,1.0
